ID,Store_Name,City,State,Zip Code,Population,Median_Income
8174,"Florida & Palm, Hemet",Hemet,CA,92543,35414,37108
8175,Colorado & I-70- Idaho Springs,Idaho Springs,CO,80452,3109,66891
8177,Hatch & Mitchell - Ceres,Ceres,CA,95307,45070,57909
8178,Glenbrook Square Mall,Fort Wayne,IN,46805,21664,42840
8180,Whipple & Industrial,Hayward,CA,94544,79254,79049
8182,I-20 & Washington,Augusta,GA,30907,50977,70553
8183,Us 17A & Berlin G. Myers,Summerville,SC,29483,54736,60768
8184,Safeway - Scotts Valley #300,Scotts Valley,CA,95066,15114,112655
8185,Vons-Anaheim Hills #2216,Anaheim,CA,92808,20662,128245
8188,Safeway - Englewood #17,Englewood,CO,80113,23384,70969
8189,Target Westbury T-1139,Westbury,NY,11590,46549,105770
8190,I-240 & Pennsylvania,Oklahoma City,OK,73159,32136,49980
8191,Matlock & Bardin,Arlington,TX,76018,27975,73061
8192,Safeway-Juanita #2734,Kirkland,WA,98034,51051,104148
8193,Rsw - Ft Myers Pier D,Fort Myers,FL,33913,26590,85053
8194,Rsw - Ft Myers Pier B,Fort Myers,FL,33913,26590,85053
8195,"Rsw - Ft Myers Main Term, Pre Sec",Fort Myers,FL,33913,26590,85053
8196,Washingtonian Waterfront,Gaithersburg,MD,20878,68418,122795
8200,"Flamingo & Eastern, Las Vegas",Las Vegas,NV,89121,65470,44834
8201,"South Greece, Long Pond & Ridgeway",Greece,NY,14626,30108,64671
8202,Northwest & Independence,Oklahoma City,OK,73112,31551,47703
8203,75 & Campbell,Richardson,TX,75080,51017,73976
8204,145Th And Lake City Way,Seattle,WA,98125,42060,73204
8205,Medical & Wurzbach,San Antonio,TX,78229,34145,43799
8206,Harris Teeter-Chantilly/Dulles S #2,Aldie,VA,20105,23310,158397
8207,Safeway - Newcastle #558,Newcastle,WA,98059,36806,109471
8208,Safeway-Edmonds #1297,Edmonds,WA,98026,37407,92018
8209,Safeway-Everett #1484,Everett,WA,98203,36282,74083
8210,Target Cicero T-732,Cicero,IL,60804,83165,49415
8211,29Th & Broadway,Pittsburg,KS,66762,25153,39546
8212,Harris Teeter-Holly Springs #118,Holly Springs,NC,27540,36960,102063
8213,Hwy 6 & Memorial,Houston,TX,77079,34889,85876
8214,Kingwood Dr & Green Oaks Dr,Humble,TX,77339,39790,74337
8215,Kimball Junction- Park City,Park City,UT,84098,19656,126224
8216,Westwood S.C.,Fredericksburg,VA,22401,29031,60357
8217,Christiansburg,Christiansburg,VA,24073,31098,65410
8218,Pembroke,Virginia Beach,VA,23462,64956,66572
8219,Waynesboro,Waynesboro,VA,22980,32914,52408
8220,116Th & Canyon Rd,Puyallup,WA,98373,23642,76523
8221,Taylor & Manchester,Wildwood,MO,63040,8814,113892
8222,Main & I-15,Barstow,CA,92311,33502,47602
8223,Champaign - 5Th & Green,Champaign,IL,61820,39671,23936
8224,Memorial Pkwy & Hwy 72,Huntsville,AL,35801,21860,71774
8225,Target Jonesboro T-1919,Jonesboro,AR,72401,58208,46662
8226,Target Yuma T-2083,Yuma,AZ,85365,48159,54929
8227,Hwy 65 & O'bryant,Conway,AR,72032,34518,51879
8229,"San Fernando & Walnut, Burbank",Burbank,CA,91504,26295,78902
8231,I-540 & Rogers Ave,Fort Smith,AR,72903,26804,49276
8232,Fashion Mall,Indianapolis,IN,46240,20464,67770
8233,Palmdale Blvd & 3Rd,Palmdale,CA,93550,78691,47391
8234,84Th And Pearl-Thornton,Thornton,CO,80229,56291,61896
8235,Firestone-I-25 & Hwy 119,Firestone,CO,80504,56145,95371
8236,Safeway-Chandler #1605,Chandler,AZ,85225,75654,66300
8237,Florida Atlantic University,Boca Raton,FL,33431,19010,76294
8238,9Th & South,Philadelphia,PA,19147,39345,66558
8239,"Manning & Reed, Reedley",Reedley,CA,93654,31586,49549
8241,"Madison & Los Alamos, Murri",Murrieta,CA,92562,66493,87245
8242,Harbor & La Habra,La Habra,CA,90631,69565,83687
8243,"Central & The 91 Fwy, Compton",Compton,CA,90220,50588,61045
8244,"Carmel Mountain & E. Ocean Air, Sd",San Diego,CA,92130,55849,149852
8245,6Th Street & Hamner,Norco,CA,92860,27078,99364
8247,Marriott Hartford - Lobby,Hartford,CT,6103,2380,74371
8248,Target Chesterfield Township T-945,Chesterfield Township,MI,48051,17507,73180
8249,Mall Of America Ii,Bloomington,MN,55425,9127,63765
8250,S. Robert & Thompson-West St. Paul,West St. Paul,MN,55118,27932,71669
8251,Rosemount - Cr 42 & Hwy 3,Rosemount,MN,55068,30214,98500
8252,Dekalb Travel Oasis Space D,Dekalb,IL,60115,44876,46937
8253,Safeway - Medford #1643,Medford,OR,97504,47512,60093
8255,Target Fredericksburg T-772,Fredericksburg,VA,22401,29031,60357
8256,Farm Fresh-Hampton #193,Virginia Beach,VA,23454,60243,76981
